Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
17,0_o,_someone_650,https://www.tiktok.com/@_someone_650,Wer sowas wählt ist verwirrt,02.09.21,42,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/b3fb20d3a194b3607dba4193126222d6~c5_100x100.jpg?x-expires=1702054800&x-signature=MmnQCHvU6YFS%2BYMvA13A%2FpUiES4%3D,No,---,0
18,Brandi,blacky2033,https://www.tiktok.com/@blacky2033,die grünen 👎👎👎,02.09.21,145,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/86ff3c780167f2b98cd47ff31fad4f84~c5_100x100.jpg?x-expires=1702054800&x-signature=nWH1VjMXqksgIgG9Hz4zbWD9GX8%3D,No,---,0
19,Len_Biermann,lenbiermann,https://www.tiktok.com/@lenbiermann,Ich persönlich bin für die SPD aber grün ist besser als die CDU,02.09.21,72,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/856c237d078ecc3bcd1b657a8bbd33aa~c5_100x100.jpg?x-expires=1702054800&x-signature=DMkls7kFFFKCZrp6IVDjt9eZoXk%3D,No,---,0
20,Chickenwing,hotandspicychickenwing,https://www.tiktok.com/@hotandspicychickenwing,sympathisch ja aber Partei nein,02.09.21,126,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/67106b03160aaeac6a5baa661403c202~c5_100x100.jpg?x-expires=1702054800&x-signature=6QjeCrDv3gy6fElXLiP6BVDCh7M%3D,No,---,0
21,Tim trautmann,tim6364,https://www.tiktok.com/@tim6364,Junge wie kann man das wählen ..?,02.09.21,58,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c358a029c2a26da384633901edbb38d4~c5_100x100.jpg?x-expires=1702054800&x-signature=b24ZbFcfDZclF6%2B4CjaV%2FWnKnjM%3D,No,---,0
22,❤️ 🏳️‍🌈,_lu.rx_,https://www.tiktok.com/@_lu.rx_,grad diesen account entdeckt und find ihn echt super,02.09.21,515,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1628741333172229~c5_100x100.jpg?x-expires=1702054800&x-signature=B29i0eL8sIDvCJChlhPJ8OXSU1w%3D,No,---,1
23,FUNKE · Creator*in,funke,https://www.tiktok.com/@funke,🥺❤️Willkommen!,03.09.21,138,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/01929241d015932ff41aae7f38d76dfa~c5_100x100.jpeg?x-expires=1702141200&x-signature=2hqman56n8KumCKnDS5HTqJOnv4%3D,Yes,❤️ 🏳️‍🌈,0
24,samu,samudeincrush,https://www.tiktok.com/@samudeincrush,Wählt nicht die Grünen,02.09.21,52,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/4c432edfa2953d684bdd179296a78e90~c5_100x100.jpg?x-expires=1702054800&x-signature=FBdmmV0h1ARudcVYo4TQbaFCgPk%3D,No,---,0
25,Sins,johny_abi1,https://www.tiktok.com/@johny_abi1,Sie ist halt mies sympathisch und ich könnte sie mir als Kanzlerin vorstellen aber nicht in der Partei und mit den Regeln schade😂,02.09.21,46,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/3da4c531b39420966be908c2b062408a~c5_100x100.jpg?x-expires=1702054800&x-signature=HnMwcoKSQUoHhdXEBL7Vd1bsuT8%3D,No,---,0
26,GammelOssy,gammelossy1,https://www.tiktok.com/@gammelossy1,Ich find Frau Baerbock echt sympathisch und ich denk sie kann schon was reißen. Sie ist halt nur in der falschen Partei 😅,02.09.21,65,https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/d4db717b65ee5b98c079fb32de5b85d1~c5_100x100.jpg?x-expires=1702054800&x-signature=OFLFKC7BQ%2B8hCx828ISTGtYdfCk%3D,No,---,0
